Industry;Peso;Intensity
Total;100.0;9.1
"    G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";12.7;0.7
    C Industria manufacturera;12.0;42.8
    L Actividades inmobiliarias;11.6;0.1
    R Actividades artísticas, recreativas y de entretenimiento;6.9;0.2
    I Hostelería;6.5;1.0
    F Construcción;6.3;1.5
"    O Administración Pública y defensa; Seguridad Social obligatoria";6.1;0.8
PQ Educación, actividades sanitarias y de servicios sociales;5.2;1.2
    M Actividades profesionales, científicas y técnicas;4.9;0.3
    H Transporte y almacenamiento;4.6;12.7
    N Actividades administrativas y servicios auxiliares;4.2;0.2
    K Actividades financieras y de seguros;3.9;0.4
    J Información y comunicaciones;3.7;0.4
    A Agricultura, ganadería, silvicultura y pesca;2.7;11.4
    D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2.4;82.0
    S Otros servicios;2.1;0.6
"    T Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";2.0;0.0
    E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1.1;1.9
    U Actividades de organizaciones y organismos extraterritoriales;0.9;0.0
    B Industrias extractivas;0.3;218.2
