"";"cntry";"year";"CPIH";"DGDP";"DMGT";"DXGT";"LTIR";"NAWU";"NPON";"PDEB";"PDEF";"PGDP";"POPU";"REER";"STIR";"TFFP";"UNEM";"UVGD";"id";"CC.EST";"GE.EST";"PV.EST";"RL.EST";"RQ.EST";"VA.EST";"VA.STD.ERR"
"1";"AUT";1960;NA;9,0551781;1,4412;1,3492;NA;NA;861,456;NA;NA;NA;7047,44;1,995702129;NA;50,8183149;1,9;6,3074;1;NA;NA;NA;NA;NA;NA;NA
"2";"AUT";1961;NA;9,4406705;1,4983;1,4626;NA;NA;879,734;NA;NA;NA;7086,3;2,016729286;NA;52,412381;1,4;6,9253;1;NA;NA;NA;NA;NA;NA;NA
"3";"AUT";1962;NA;9,778543;1,5741;1,6085;NA;NA;898,854;NA;NA;NA;7129,86;2,021399243;NA;52,7431401;1,5;7,3451;1;NA;NA;NA;NA;NA;NA;NA
"4";"AUT";1963;NA;10,1263703;1,7395;1,7498;NA;NA;916,714;NA;NA;NA;7175,81;2,021399243;NA;54,2676038;1,6;7,9166;1;NA;NA;NA;NA;NA;NA;NA
"5";"AUT";1964;NA;10,4559614;1,9616;1,8951;NA;NA;937,449;NA;NA;NA;7223,8;2,021399243;NA;56,6613983;1,5;8,6678;1;NA;NA;NA;NA;NA;NA;NA
"6";"AUT";1965;NA;11,0513936;2,2105;2,0869;6,51;1,247468;958,164;NA;NA;86,6326;7270,89;2,021394882;NA;57,5346739;1,5;9,4233;1;NA;NA;NA;NA;NA;NA;NA
"7";"AUT";1966;NA;11,3964171;2,4817;2,2677;6,91;1,247468;979,154;NA;NA;90,4773;7322,07;2,02140215;NA;60,0618727;1,4;10,2658;1;NA;NA;NA;NA;NA;NA;NA
"8";"AUT";1967;NA;11,8217359;2,5874;2,4226;7,22;1,247468;1001,429;NA;NA;94,3737;7377;2,011965001;4,75;61,5379958;1,4;10,9692;1;NA;NA;NA;NA;NA;NA;NA
"9";"AUT";1968;NA;12,5817377;2,8886;2,7624;7,74;1,241827;1020,286;NA;NA;98,3182;7415,4;1,944081161;4,14;63,7819505;1,5;12,1965;1;NA;NA;NA;NA;NA;NA;NA
"10";"AUT";1969;NA;13,0103904;3,3251;3,3528;7,52;1,268139;1036,361;NA;NA;102,409;7441,06;1,931415885;4,49;66,7847644;1,6;13,4036;1;NA;NA;NA;NA;NA;NA;NA
"11";"AUT";1970;NA;13,6268582;4,131;4,1194;7,82;1,134234;1051,055;18,5386;NA;107,1248;7467,09;1,931491319;5,62;70,1762363;1,1;15,0387;1;NA;NA;NA;NA;NA;NA;NA
